id,שם,תיאור,מחיר,תמונה,קטגוריה,מלאי,פעיל
33,מארז קפה ותבלינים,קפה ערבי + הל + קינמון — מתנה לאוהבי הקפה,110,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80&auto=format&fit=crop,מארזים,8,TRUE
34,מארז מתנה לחג,מבחר 7 תבלינים פרימיום בקופסת מתנה יפהפייה,145,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=400&q=80&auto=format&fit=crop,מארזים,6,TRUE
35,מארז בישול מזרחי,ראס אל חנות + בהרט + זעתר — טריו ים תיכוני,90,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400&q=80&auto=format&fit=crop,מארזים,10,TRUE
36,מארז בריאות וטבע,כורכום + זנגביל + קינמון + פלפל שחור — לחיזוק הגוף,98,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400&q=80&auto=format&fit=crop,מארזים,8,TRUE
37,לפיד מרווה לבנה קטן,לפיד מרווה לבנה 10 ס"מ לטיהור מרחב קטן,35,https://images.unsplash.com/photo-1585388027440-0b7f0deede3a?w=400&q=80&auto=format&fit=crop,טבע,20,TRUE
38,לפיד מרווה לבנה גדול,לפיד מרווה לבנה 20 ס"מ לטיהור מרחב גדול ולטקסים,55,https://images.unsplash.com/photo-1585388027440-0b7f0deede3a?w=400&q=80&auto=format&fit=crop,טבע,15,TRUE
39,פאולו סאנטו,עץ קדוש מאמריקה הלטינית לטיהור ואנרגיה חיובית,45,https://images.unsplash.com/photo-1598170845054-99521aa44fc7?w=400&q=80&auto=format&fit=crop,טבע,15,TRUE
40,קטורת לבונה,שרף לבונה טהורה לניחוח קדוש ולמדיטציה,38,https://images.unsplash.com/photo-1620733723572-11c53f73a416?w=400&q=80&auto=format&fit=crop,טבע,25,TRUE
41,קטורת מור,שרף מור טבעי — לטיהור ולריפוי אנרגטי,42,https://images.unsplash.com/photo-1620733723572-11c53f73a416?w=400&q=80&auto=format&fit=crop,טבע,20,TRUE
42,אבן קוורץ ורדרד,אבן קוורץ ורוד לאהבה ורוגע — גודל בינוני,65,https://images.unsplash.com/photo-1559181567-c3190100191d?w=400&q=80&auto=format&fit=crop,טבע,12,TRUE
43,אמטיסט טבעי,אמטיסט סגול לשחרור לחצים ולשינה טובה,75,https://images.unsplash.com/photo-1559181567-c3190100191d?w=400&q=80&auto=format&fit=crop,טבע,10,TRUE
44,אבן עין הנמר,אבן עין הנמר חומה — לביטחון ולהצלחה כלכלית,70,https://images.unsplash.com/photo-1554080353-a576cf803bda?w=400&q=80&auto=format&fit=crop,טבע,10,TRUE
45,שקיק אבני חן מעורבות,שקיק עם 7 אבני חן שונות לשמירה והגנה אישית,75,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=400&q=80&auto=format&fit=crop,טבע,12,TRUE
46,עץ אבנים לשמירה,עץ מיניאטורי מאבני חן — לבית לאנרגיה חיובית,95,https://images.unsplash.com/photo-1554080353-a576cf803bda?w=400&q=80&auto=format&fit=crop,טבע,8,TRUE
47,עדשים ירוקות,עדשים ירוקות איכותיות עשירות חלבון וסיבים תזונתיים,15,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400&q=80&auto=format&fit=crop,אחר,60,TRUE
48,עדשים כתומות,עדשים כתומות מפוצלות לבישול מהיר ולמרקים,14,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400&q=80&auto=format&fit=crop,אחר,60,TRUE
49,חומוס יבש,גרגרי חומוס יבשים איכותיים — לממרח ולתבשילים,16,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400&q=80&auto=format&fit=crop,אחר,50,TRUE
50,שעועית לבנה,שעועית לבנה גדולה — לתבשילים ולמרקים עשירים,15,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400&q=80&auto=format&fit=crop,אחר,50,TRUE
51,פול יבש,פול יבש קלוף — לפול מדמס ולתבשילים מסורתיים,14,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400&q=80&auto=format&fit=crop,אחר,50,TRUE
52,תמרים מג'הול,תמרים מג'הול ענקיים מתוקים ורכים — ישירות מהמקור,55,https://images.unsplash.com/photo-1568702846914-96b305d2aaeb?w=400&q=80&auto=format&fit=crop,אחר,20,TRUE
53,שקדים טבעיים,שקדים טבעיים ללא קלייה וללא מלח — חטיף בריאותי,42,https://images.unsplash.com/photo-1601493700631-2b16ec4b4716?w=400&q=80&auto=format&fit=crop,אחר,30,TRUE
54,אגוזי מלך,אגוזי מלך טבעיים עשירים באומגה 3 ובנוגדי חמצון,48,https://images.unsplash.com/photo-1601493700631-2b16ec4b4716?w=400&q=80&auto=format&fit=crop,אחר,25,TRUE
55,פיסטוקים טבעיים,פיסטוקים טבעיים ללא מלח — טעימים ובריאים,52,https://images.unsplash.com/photo-1601493700631-2b16ec4b4716?w=400&q=80&auto=format&fit=crop,אחר,20,TRUE
56,פרג טחון במקום,פרג טרי טחון לאפייה ולממרחים — ריחני ואיכותי,30,https://images.unsplash.com/photo-1484723091739-30a097e8f929?w=400&q=80&auto=format&fit=crop,אחר,25,TRUE
57,שומשום לבן,שומשום לבן טרי לטחינה ולאפייה,18,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400&q=80&auto=format&fit=crop,אחר,40,TRUE
58,שומשום שחור,שומשום שחור לגיוון ולקישוט — עשיר בסידן,20,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400&q=80&auto=format&fit=crop,אחר,35,TRUE
59,קוקוס מגורד,קוקוס מגורד מיובש — לאפייה ולקינוחים טרופיים,22,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400&q=80&auto=format&fit=crop,אחר,30,TRUE
60,ריבת תאנים ביתית,ריבת תאנים עם תבלינים — מתכון מסורתי ביתי,42,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400&q=80&auto=format&fit=crop,אחר,15,TRUE
